Fixity report
Project name	Demo_oudenburg
New File:	/Users/nastasia/Desktop/persoonlijke_stuff/IMG_20170901_194828244_HDR.jpg
New File:	/Users/nastasia/Desktop/persoonlijke_stuff/vicky<3.jpg
New File:	/Users/nastasia/Desktop/nieuwsitem_IIIF.png
New File:	/Users/nastasia/Desktop/circleci_aws_culturize.txt
New File:	/Users/nastasia/Desktop/20160407_07028_SFR kopie.jpg
New File:	/Users/nastasia/Desktop/Schermafbeelding 2019-05-02 om 15.32.44.png
New File:	/Users/nastasia/Desktop/Architectuur_VKC_v2.drawio
New File:	/Users/nastasia/Desktop/.DS_Store
New File:	/Users/nastasia/Desktop/Schermafbeelding 2019-05-02 om 15.30.44.png
New File:	/Users/nastasia/Desktop/test/sf_2.csv
New File:	/Users/nastasia/Desktop/test/sf_1.csv
New File:	/Users/nastasia/Desktop/.localized
New File:	/Users/nastasia/Desktop/Schermafbeelding 2019-05-02 om 13.50.11.png
New File:	/Users/nastasia/Desktop/clarifai-ebook-computer-vision-101-for-business-professionals.pdf
New File:	/Users/nastasia/Desktop/notities_VRS_Henk.txt
New File:	/Users/nastasia/Desktop/Schermafbeelding 2019-05-02 om 13.29.39.png
New File:	/Users/nastasia/Desktop/instance1.xml
New File:	/Users/nastasia/Desktop/Architectuur_VKC_v2-IIIF VKC prototype.png
New File:	/Users/nastasia/Desktop/sjabloon_ADVN.txt
New File:	/Users/nastasia/Desktop/VKC_IIIF_overzicht_componenten.png
New File:	/Users/nastasia/Desktop/list_images_drc
New File:	/Users/nastasia/Desktop/Reflectieformulier2_blanco_stagestudent.docx
New File:	/Users/nastasia/Desktop/Architectuur_vkc_v2.png
New File:	/Users/nastasia/Desktop/mysql_shizzle.txt
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/.DS_Store
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/csv_reports/warnings.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/csv_reports/formats.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/csv_reports/duplicates.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/csv_reports/formatVersions.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/csv_reports/unidentified.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/csv_reports/years.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/csv_reports/mimetypes.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/csv_reports/errors.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/siegfried.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/.assets/css/bootstrap.min.css
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/.assets/js/jquery-3.3.1.slim.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/.assets/js/bootstrap.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/.assets/js/popper.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/report.html
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Hasel/tree.txt
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_1.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_2.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_3.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_7.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_6.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/csv_reports/warnings.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/csv_reports/formats.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/csv_reports/duplicates.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/csv_reports/formatVersions.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/csv_reports/unidentified.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/csv_reports/years.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/csv_reports/mimetypes.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/csv_reports/errors.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_4.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_5.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_8.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_9.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_14.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/.assets/css/bootstrap.min.css
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/.assets/js/jquery-3.3.1.slim.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/.assets/js/bootstrap.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/.assets/js/popper.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/report.html
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/tree.txt
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_11.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_10.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_12.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum_2/siegfried_folder_13.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/csv_reports/warnings.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/csv_reports/formats.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/csv_reports/duplicates.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/csv_reports/formatVersions.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/csv_reports/unidentified.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/csv_reports/years.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/csv_reports/mimetypes.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/csv_reports/errors.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/siegfried.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/siegfried.xlsx
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/.assets/css/bootstrap.min.css
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/.assets/js/jquery-3.3.1.slim.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/.assets/js/bootstrap.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/.assets/js/popper.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/report.html
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus/tree.txt
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/csv_reports/warnings.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/csv_reports/formats.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/csv_reports/duplicates.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/csv_reports/formatVersions.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/csv_reports/unidentified.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/csv_reports/years.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/csv_reports/mimetypes.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/csv_reports/errors.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/siegfried.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/siegfried.xlsx
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/.assets/css/bootstrap.min.css
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/.assets/js/jquery-3.3.1.slim.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/.assets/js/bootstrap.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/.assets/js/popper.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/report.html
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum/tree.txt
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/alle_formaten.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/csv_reports/warnings.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/csv_reports/formats.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/csv_reports/duplicates.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/csv_reports/formatVersions.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/csv_reports/unidentified.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/csv_reports/years.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/csv_reports/mimetypes.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/csv_reports/errors.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/siegfried.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/siegfried.xlsx
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/.assets/css/bootstrap.min.css
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/.assets/js/jquery-3.3.1.slim.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/.assets/js/bootstrap.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/.assets/js/popper.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/report.html
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Jenevermuseum/tree.txt
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/alle_formaten_mime.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/siegfried_folder_1.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/siegfried_folder_2.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/siegfried_folder_3.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/siegfried_folder_7.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/.DS_Store
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/siegfried_folder_6.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/csv_reports/warnings.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/csv_reports/formats.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/csv_reports/duplicates.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/csv_reports/formatVersions.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/csv_reports/unidentified.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/csv_reports/years.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/csv_reports/mimetypes.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/csv_reports/errors.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/siegfried_folder_4.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/siegfried_folder_5.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/siegfried.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/.assets/css/bootstrap.min.css
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/.assets/js/jquery-3.3.1.slim.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/.assets/js/bootstrap.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/.assets/js/popper.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/report.html
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_1.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_21.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_2.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_3.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_20.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_18.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_7.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_6.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_19.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/laatste.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_4.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_5.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_17.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_8.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_9.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_16.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_14.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_15.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_11.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_10.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_12.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/lastige/siegfried_folder_13.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Modemuseum_2/tree.txt
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_1.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_2.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_3.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_7.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/.DS_Store
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_6.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/csv_reports/warnings.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/csv_reports/formats.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/csv_reports/duplicates.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/csv_reports/formatVersions.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/csv_reports/unidentified.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/csv_reports/years.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/csv_reports/mimetypes.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/csv_reports/errors.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_4.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_5.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_8.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_9.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/.assets/css/bootstrap.min.css
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/.assets/js/jquery-3.3.1.slim.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/.assets/js/bootstrap.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/.assets/js/popper.min.js
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/report.html
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/tree.txt
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_11.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_10.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_12.csv
New File:	/Users/nastasia/Desktop/digitale_strategie_hasselt/Stadsmus_2/siegfried_folder_13.csv
New File:	/Users/nastasia/Desktop/demo.zip
New File:	/Users/nastasia/Desktop/installatie_iiif_server.txt
New File:	/Users/nastasia/Desktop/demo.csv
New File:	/Users/nastasia/Desktop/amazon aws.txt
New File:	/Users/nastasia/Desktop/20160406_07028_OECF.jpg
New File:	/Users/nastasia/Desktop/webinar_preservica.txt
New File:	/Users/nastasia/Desktop/resurrection.txt
New File:	/Users/nastasia/Desktop/voorbeeld-oudburg.xml
New File:	/Users/nastasia/Desktop/iiif-implementation-guide.md
New File:	/Users/nastasia/Desktop/todos_IIIF.txt
Removed File	/Users/nastasia/Desktop/bag.zip
Removed File	/Users/nastasia/Desktop/bag/bag-info.txt
Removed File	/Users/nastasia/Desktop/bag/bagit.txt
Removed File	/Users/nastasia/Desktop/bag/tagmanifest-md5.txt
Removed File	/Users/nastasia/Desktop/bag/manifest-md5.txt
Removed File	/Users/nastasia/Desktop/bag/data/ODB00442.jpg
Removed File	/Users/nastasia/Desktop/bag/data/metadata.csv
Removed File	/Users/nastasia/Desktop/bag/data/ODB00451.jpg
Removed File	/Users/nastasia/Desktop/bag/data/ODB00445.jpg
Removed File	/Users/nastasia/Desktop/bag/data/ODB00449.jpg
Removed File	/Users/nastasia/Desktop/bag/data/ODB00446.jpg
Removed File	/Users/nastasia/Desktop/bag/data/ODB00448.jpg
Removed File	/Users/nastasia/Desktop/oudenburg-profile.json
Removed File	/Users/nastasia/Desktop/bag/data/CollectieX.csv
Removed File	/Users/nastasia/Desktop/bag/data/ODB00447.jpg
Removed File	/Users/nastasia/Desktop/bag/data/ODB00450.jpg
Removed File	/Users/nastasia/Desktop/bag/data/ODB00444.jpg
Removed File	/Users/nastasia/Desktop/bag/data/ODB00443.jpg
